sentence	tenor
The police force face the virtually impossible task of keeping the 【】 on the explosive mixture of ingredients that the dynamics of British society have assembled in the inner city .	
The police force face the virtually impossible task of keeping the lid on the explosive 【】 of ingredients that the dynamics of British society have assembled in the inner city .	
The police force face the virtually impossible task of keeping the lid on the explosive mixture of 【】 that the dynamics of British society have assembled in the inner city .	
This 【】 , heated by recession and high unemployment , inevitably generates a high level of crime .	
Harrison 's 【】 of a nightmarish future for inner cities , locked in a cold or hot war between have-nots and the forces of public order , was echoed by Robert Chesshyre ( 1987 , p. 95 ) , who concluded that by the late 1980s :	
The 【】 in drug abuse and trafficking , with direct consequences for the AIDS epidemic , has created a new kind of alarm .	
Or would a simple 【】 of resources transform Kafkaesque honeycombs into happy living-spaces , with a consequent decline in inner-city ills ?	
Or would a simple injection of resources transform Kafkaesque 【】 into happy living-spaces , with a consequent decline in inner-city ills ?	
the encouragement of private investment and the 【】 of the market ; the containment of the forces of social discontent ; the control of the powers of the local authorities ; and the encouragement of the movement of the wealthy into the inner city thus creating buffer areas of Tory support , accentuating inequalities and injustice and ( hopefully though not necessarily ) reducing the potential for conflict among the urban poor .	
the encouragement of private investment and the liberation of the market ; the containment of the 【】 of social discontent ; the control of the powers of the local authorities ; and the encouragement of the movement of the wealthy into the inner city thus creating buffer areas of Tory support , accentuating inequalities and injustice and ( hopefully though not necessarily ) reducing the potential for conflict among the urban poor .	
